DataStream0,DataStream1,DataStream2,DataStream3,DataStream4,DataStream5,DataStream6,DataStream7,DataStream8,DataStream9,DataStream10,DataStream11,DataStream12,DataStream13,DataStream14,DataStream15,DataStream16,
89.0,0.0,438.0,4116.410256410257,3753.333333333334,4311.794871794872,5709.2307692307695,3958.9743589743593,4127.179487179487,3878.9743589743593,4285.641025641026,4111.794871794872,4043.589743589744,4336.923076923077,4080.5128205128212,3653.333333333334,4013.8461538461543,
90.0,0.0,478.0,4120.000000000001,3761.538461538462,4317.435897435898,5706.666666666667,3960.0000000000005,4175.8974358974365,3893.8461538461543,4278.461538461539,4108.205128205129,4044.615384615385,4333.333333333334,4082.0512820512827,3657.9487179487182,4017.9487179487182,
91.0,0.0,465.0,4119.48717948718,3764.615384615385,4317.435897435898,5700.512820512821,3945.1282051282055,4164.615384615385,3875.8974358974365,4273.333333333334,4114.871794871796,4045.6410256410263,4332.307692307693,4074.8717948717954,3657.9487179487182,4016.9230769230776,
92.0,0.0,447.0,4130.769230769231,3778.461538461539,4324.615384615385,5695.8974358974365,3954.8717948717954,4173.846153846154,3887.692307692308,4291.794871794872,4141.538461538462,4054.8717948717954,4354.358974358975,4085.6410256410263,3674.8717948717954,4028.717948717949,
93.0,0.0,438.0,4145.641025641026,3797.9487179487182,4335.384615384616,5692.820512820514,3977.435897435898,4191.282051282052,3910.2564102564106,4308.205128205129,4154.871794871796,4074.358974358975,4368.205128205129,4103.076923076924,3685.1282051282055,4044.1025641025644,
94.0,0.0,478.0,4142.051282051282,3793.333333333334,4333.333333333334,5683.076923076924,3967.1794871794878,4165.128205128206,3895.3846153846157,4293.333333333334,4130.769230769231,4086.666666666667,4360.000000000001,4097.435897435898,3676.9230769230776,4040.5128205128212,
95.0,0.0,465.0,4140.000000000001,3788.205128205129,4334.358974358975,5674.3589743589755,3956.9230769230776,4158.461538461539,3893.8461538461543,4288.205128205129,4127.179487179487,4078.461538461539,4363.589743589744,4095.3846153846157,3682.564102564103,4038.461538461539,
96.0,0.0,447.0,4152.307692307693,3810.7692307692314,4344.615384615385,5670.256410256411,3970.7692307692314,4195.384615384616,3916.9230769230776,4305.128205128206,4149.74358974359,4075.8974358974365,4375.384615384616,4109.2307692307695,3694.8717948717954,4049.7435897435903,
97.0,0.0,438.0,4155.8974358974365,3823.076923076924,4340.512820512821,5666.666666666667,3970.2564102564106,4202.564102564103,3912.820512820513,4302.051282051282,4140.000000000001,4086.666666666667,4368.717948717949,4104.102564102564,3689.2307692307695,4050.2564102564106,
98.0,0.0,478.0,4145.641025641026,3802.564102564103,4334.358974358975,5668.205128205129,3961.538461538462,4182.051282051282,3899.48717948718,4288.717948717949,4126.153846153847,4079.48717948718,4356.923076923077,4089.7435897435903,3678.461538461539,4038.9743589743593,
99.0,0.0,465.0,4133.333333333334,3787.1794871794878,4330.769230769231,5675.384615384616,3967.1794871794878,4149.2307692307695,3887.1794871794878,4286.153846153847,4124.102564102564,4052.307692307693,4345.641025641026,4085.6410256410263,3666.1538461538466,4026.666666666667,
100.0,0.0,447.0,4140.000000000001,3814.8717948717954,4328.205128205129,5681.538461538462,3969.2307692307695,4146.666666666667,3872.820512820513,4280.000000000001,4103.589743589744,4048.717948717949,4336.923076923077,4083.076923076924,3658.9743589743593,4027.692307692308,
101.0,0.0,438.0,4165.128205128206,3861.0256410256416,4339.48717948718,5680.512820512821,3972.820512820513,4182.564102564103,3885.1282051282055,4280.000000000001,4099.48717948718,4067.1794871794878,4351.282051282052,4090.7692307692314,3672.307692307693,4045.6410256410263,
102.0,0.0,478.0,4172.820512820514,3873.8461538461543,4349.743589743591,5680.512820512821,3981.0256410256416,4177.948717948719,3906.1538461538466,4285.641025641026,4122.564102564103,4055.8974358974365,4347.6923076923085,4094.358974358975,3667.1794871794878,4047.692307692308,
103.0,0.0,465.0,4172.307692307693,3878.9743589743593,4355.8974358974365,5683.589743589744,3970.2564102564106,4185.641025641026,3912.307692307693,4289.74358974359,4137.948717948719,4043.076923076924,4327.6923076923085,4093.333333333334,3647.692307692308,4043.076923076924,
104.0,0.0,447.0,4174.358974358975,3888.717948717949,4356.410256410257,5685.128205128206,3958.461538461539,4192.307692307693,3902.0512820512827,4292.820512820514,4125.128205128206,4062.0512820512827,4330.256410256411,4091.7948717948725,3641.538461538462,4042.564102564103,
105.0,0.0,438.0,4161.025641025642,3873.333333333334,4344.102564102564,5690.769230769231,3962.0512820512827,4140.000000000001,3883.076923076924,4277.435897435898,4101.025641025642,4051.7948717948725,4322.564102564103,4076.9230769230776,3626.666666666667,4024.1025641025644,
106.0,0.0,478.0,4146.153846153847,3855.8974358974365,4331.282051282052,5689.743589743591,3965.1282051282055,4106.153846153847,3863.076923076924,4248.205128205129,4085.1282051282055,4018.9743589743593,4292.820512820514,4058.9743589743593,3605.1282051282055,4001.538461538462,
107.0,0.0,465.0,4155.384615384616,3869.2307692307695,4339.48717948718,5681.025641025642,3971.2820512820517,4139.48717948718,3851.7948717948725,4245.641025641026,4082.0512820512827,4038.9743589743593,4299.48717948718,4066.666666666667,3614.8717948717954,4010.7692307692314,
108.0,0.0,447.0,4170.256410256411,3893.333333333334,4357.948717948719,5684.102564102564,3975.8974358974365,4188.205128205129,3871.7948717948725,4274.358974358975,4102.564102564103,4061.538461538462,4332.820512820514,4090.2564102564106,3633.333333333334,4033.333333333334,
